store_id,name,zip_code,api_data,last_sync
1,Target,85281,https://www.target.com/c/grocery/-/N-5xt1a,2025-05-01 16:59:08
2,Frys,85281,https://www.frysfood.com/?&cid=ps_adw_ogs_15x1sa_voffer_t:frys&gad_source=1&gclid=Cj0KCQjw-e6-BhDmARIsAOxxIxUWPgqAC4ffyFEJy46kvAv248iKPXKnoOQOKiUGP9y0aeJHX6pG3Q0aAq0aEALw_wcB&gclsrc=aw.ds,2025-05-01 16:59:08
3,Amazon,0,https://www.amazon.com/fmc/storefront?almBrandId=QW1hem9uIEZyZXNo&tag=googhydr-20&hvadid=703187352438&hvpos=&hvexid=&hvnetw=g&hvrand=4681820761083626601&hvpone=&hvptwo=&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9030106&hvtargid=kwd-11325221787&ref=pd_sl_3dkf13qjk1_e,2025-05-01 16:59:08
